Exchange,ISIN,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,INE438A01022,1,APOLLOTYRE,APOLLOTYRE-EQ,EQ,,,
NSE,INE455K01017,1,POLYCAB,POLYCAB-EQ,EQ,,,
NSE,INE463A01038,1,BERGEPAINT,BERGEPAINT-EQ,EQ,,,
NSE,INE465A01025,1,BHARATFORG,BHARATFORG-EQ,EQ,,,
NSE,INE476A01014,1,CANBK,CANBK-EQ,EQ,,,
NSE,INE477A01020,1,CANFINHOME,CANFINHOME-EQ,EQ,,,
NSE,INE484J01027,1,GODREJPROP,GODREJPROP-EQ,EQ,,,
NSE,INE491A01021,1,CUB,CUB-EQ,EQ,,,
NSE,INE494B01023,1,TVSMOTOR,TVSMOTOR-EQ,EQ,,,
NSE,INE522D01027,1,MANAPPURAM,MANAPPURAM-EQ,EQ,,,
NSE,INE531E01026,1,HINDCOPPER,HINDCOPPER-EQ,EQ,,,
NSE,INE540L01014,1,ALKEM,ALKEM-EQ,EQ,,,
NSE,INE545U01014,1,BANDHANBNK,BANDHANBNK-EQ,EQ,,,
NSE,INE571A01038,1,IPCALAB,IPCALAB-EQ,EQ,,,
NSE,INE584A01023,1,NMDC,NMDC-EQ,EQ,,,
NSE,INE591G01017,1,COFORGE,COFORGE-EQ,EQ,,,
NSE,INE600L01024,1,LALPATHLAB,LALPATHLAB-EQ,EQ,,,
NSE,INE603J01030,1,PIIND,PIIND-EQ,EQ,,,
NSE,INE646L01027,1,INDIGO,INDIGO-EQ,EQ,,,
NSE,INE647A01010,1,SRF,SRF-EQ,EQ,,,
NSE,INE647O01011,1,ABFRL,ABFRL-EQ,EQ,,,
NSE,INE663F01024,1,NAUKRI,NAUKRI-EQ,EQ,,,
NSE,INE669E01016,1,IDEA,IDEA-EQ,EQ,,,
NSE,INE671A01010,1,HONAUT,HONAUT-EQ,EQ,,,
NSE,INE674K01013,1,ABCAPITAL,ABCAPITAL-EQ,EQ,,,
NSE,INE684F01012,1,FSL,FSL-EQ,EQ,,,
NSE,INE685A01028,1,TORNTPHARM,TORNTPHARM-EQ,EQ,,,
